OrderNumber,Channel,WarehouseCode,ProcuredDate,OrderDate,ShipDate,DeliveryDate,OrderQty,UnitPrice,UnitCost,CustomerID,ProductID,Region
ORD-10000,Wholesale,WHS-04,2024-09-27,2024-09-29,2024-10-04,2024-10-09,126,19.22,16.7,CUST-0088,PRD-001,Marmara
ORD-10001,Wholesale,WHS-06,2024-12-09,2024-12-12,2024-12-18,2024-12-24,390,22.69,18.64,CUST-0022,PRD-001,Marmara
ORD-10002,Online,WHS-01,2024-02-28,2024-02-29,2024-03-04,2024-03-16,194,17.08,11.8,CUST-0055,PRD-004,İç Anadolu
ORD-10003,Online,WHS-03,2024-01-21,2024-01-21,2024-01-28,2024-01-30,392,107.34,75.67,CUST-0265,PRD-002,Marmara
ORD-10004,Online,WHS-02,2024-04-01,2024-04-04,2024-04-11,2024-04-23,513,81.79,67.49,CUST-0081,PRD-004,Akdeniz
ORD-10005,Retail,WHS-04,2025-01-24,2025-01-25,2025-01-29,2025-02-04,481,118.98,77.72,CUST-0162,PRD-002,Ege
ORD-10006,Retail,WHS-04,2024-09-27,2024-09-30,2024-10-01,2024-10-09,342,65.08,45.48,CUST-0217,PRD-004,Ege
ORD-10007,Online,WHS-01,2024-01-15,2024-01-19,2024-01-20,2024-01-29,525,77.1,62.92,CUST-0063,PRD-003,Marmara
ORD-10008,Wholesale,WHS-01,2025-02-22,2025-02-22,2025-02-25,2025-03-02,494,37.66,31.88,CUST-0135,PRD-001,Akdeniz
ORD-10009,Retail,WHS-01,2025-05-17,2025-05-21,2025-05-24,2025-06-05,551,47.83,40.42,CUST-0131,PRD-001,Akdeniz
ORD-10010,Online,WHS-02,2025-02-01,2025-02-03,2025-02-04,2025-02-14,558,46.56,37.95,CUST-0231,PRD-001,İç Anadolu
ORD-10011,Online,WHS-04,2025-04-29,2025-05-03,2025-05-10,2025-05-21,545,25.72,22.16,CUST-0187,PRD-003,Ege
ORD-10012,Retail,WHS-04,2025-07-10,2025-07-10,2025-07-15,2025-07-21,32,28.67,21.38,CUST-0128,PRD-002,Ege
ORD-10013,Wholesale,WHS-04,2024-08-18,2024-08-18,2024-08-19,2024-08-28,287,57.53,37.03,CUST-0233,PRD-003,Marmara
ORD-10014,Wholesale,WHS-06,2025-02-14,2025-02-14,2025-02-20,2025-02-25,229,18.17,13.99,CUST-0160,PRD-004,Akdeniz
ORD-10015,Online,WHS-04,2025-05-11,2025-05-12,2025-05-16,2025-05-28,514,85.69,57.22,CUST-0101,PRD-001,Marmara
ORD-10016,Online,WHS-03,2024-01-02,2024-01-03,2024-01-07,2024-01-13,229,77.86,52.58,CUST-0053,PRD-004,Marmara
ORD-10017,Retail,WHS-06,2024-09-03,2024-09-06,2024-09-13,2024-09-24,188,34.37,22.82,CUST-0280,PRD-001,Akdeniz
ORD-10018,Retail,WHS-06,2025-05-25,2025-05-25,2025-05-26,2025-06-07,191,21.68,18.99,CUST-0148,PRD-004,Ege
